,136375BQ4 Corp,278058DB5 Corp,29736RAC4 Corp,20030NAV3 Corp,209111ES8 Corp,773903AE9 Corp,EG6454136 Corp,78409VAB0 Corp,665501AG7 Corp,26882PBE1 Corp,927804FB5 Corp,875127AW2 Corp,45138LAT0 Corp,195869AL6 Corp,010284AN7 Corp,373334GC9 Corp,291641BA5 Corp,90131HBK0 Corp,958587BG1 Corp,15405EAH1 Corp,826418BE4 Corp,20765QAK1 Corp,455434BL3 Corp,035229DC4 Corp,26442CAA2 Corp,59562VAP2 Corp,36962G3A0 Corp,172967EC1 Corp,59022CAJ2 Corp,74432QBD6 Corp
2015-09-08 00:00:00,68.459,114.304,122.316,133.443,125.574,126.398,68.459,109.942,117.927,68.459,68.459,68.459,68.459,114.596,114.365,111.823,115.072,113.114,68.459,68.459,68.459,68.459,68.459,126.911,124.904,117.851,125.722,68.459,114.418,68.459
2015-09-09 00:00:00,69.683,114.494,122.495,133.583,125.782,126.614,69.683,110.101,118.243,69.683,69.683,69.683,69.683,114.89,113.106,112.004,114.976,113.531,69.683,69.683,69.683,69.683,69.683,127.095,125.001,117.832,125.971,69.683,114.417,69.683
2015-09-10 00:00:00,69.354,114.005,121.969,132.827,125.242,126.063,69.354,109.679,118.19,69.354,69.354,69.354,69.354,114.55,112.724,111.53,114.819,112.899,69.354,69.354,69.354,69.354,69.354,126.528,124.458,117.363,125.16,69.354,114.088,69.354
2015-09-11 00:00:00,68.558,114.347,122.335,132.775,125.621,126.45,68.558,109.998,118.053,68.558,68.558,68.558,68.558,114.76,113.147,111.88,115.226,113.129,68.558,68.558,68.558,68.558,68.558,127.115,124.852,117.739,125.805,68.558,114.61,68.558
2015-09-14 00:00:00,68.571,114.146,122.116,132.533,125.377,126.221,68.571,109.812,117.913,68.571,68.571,68.571,68.571,114.698,113.134,111.668,115.28,113.381,68.571,68.571,68.571,68.571,68.571,126.184,124.613,117.726,125.6,68.571,114.969,68.571
2015-09-15 00:00:00,68.614,112.652,120.464,131.104,123.721,124.532,68.614,109.112,117.037,68.614,68.614,68.614,68.614,113.606,112.136,110.198,114.178,112.162,68.614,68.614,68.614,68.614,68.614,124.553,122.809,116.176,123.914,68.614,112.613,68.614
2015-09-16 00:00:00,68.587,112.247,120.406,130.975,123.664,124.474,68.587,109.07,116.738,68.587,68.587,68.587,68.587,119.154,111.539,110.172,113.484,112.051,68.587,68.587,68.587,68.587,68.587,123.44,122.75,116.029,123.881,68.587,112.926,68.587
2015-09-17 00:00:00,67.776,113.651,121.941,132.937,125.225,126.047,67.776,110.359,116.978,67.776,67.776,67.776,67.776,119.923,112.615,111.541,113.944,113.558,67.776,67.776,67.776,67.776,67.776,122.676,124.315,117.495,125.362,67.776,113.625,67.776
2015-09-18 00:00:00,66.831,114.383,122.733,133.6,126.451,126.886,66.831,111.015,115.719,66.831,66.831,66.831,66.831,122.361,113.587,112.246,115.012,114.475,66.831,66.831,66.831,66.831,66.831,123.468,125.103,118.245,125.984,66.831,114.686,66.831
2015-09-21 00:00:00,65.693,113.562,121.83,132.289,125.238,125.954,65.693,110.271,110.733,65.693,65.693,65.693,65.693,122.679,113.008,111.431,114.513,113.539,65.693,65.693,65.693,65.693,65.693,122.209,124.193,117.272,125.823,65.693,113.183,65.693
2015-09-22 00:00:00,65.991,114.591,122.981,133.467,126.349,127.114,65.991,111.19,106.666,65.991,65.991,65.991,65.991,123.389,113.216,112.446,115.078,114.527,65.991,65.991,65.991,65.991,65.991,122.92,125.297,118.312,130.103,65.991,114.517,65.991
2015-09-23 00:00:00,64.214,114.504,122.858,133.348,126.173,127.015,64.214,111.127,106.307,64.214,64.214,64.214,64.214,123.174,113.055,112.362,115.22,114.231,64.214,64.214,64.214,64.214,64.214,122.639,125.229,118.249,129.852,64.214,113.625,64.214
2015-09-24 00:00:00,63.087,114.865,123.254,133.011,126.275,127.435,63.087,111.459,106.511,63.087,63.087,63.087,63.087,123.261,113.587,112.718,115.943,114.61,63.087,63.087,63.087,63.087,63.087,122.92,125.634,118.446,130.076,63.087,114.502,63.087
2015-09-25 00:00:00,61.656,114.655,123.022,132.554,126.037,127.203,61.656,111.269,105.759,61.656,61.656,61.656,61.656,123.008,113.117,112.008,115.344,114.063,61.656,61.656,61.656,61.656,61.656,122.012,125.397,118.067,128.805,61.656,113.97,61.656
2015-09-28 00:00:00,61.145,115.183,124.508,132.912,127.521,128.534,61.145,111.414,106.524,61.145,61.145,61.145,61.145,124.702,113.681,113.113,116.273,115.009,61.145,61.145,61.145,61.145,61.145,122.996,126.907,119.2,129.826,61.145,114.92,61.145
2015-09-29 00:00:00,61.221,116.072,125.486,132.8,128.062,129.548,61.221,112.223,106.91,61.221,61.221,61.221,61.221,125.277,114.461,113.572,116.773,114.975,61.221,61.221,61.221,61.221,61.221,120.983,127.512,119.616,129.691,61.221,114.745,61.221
2015-09-30 00:00:00,62.92,115.615,125.382,132.133,127.928,129.437,62.92,112.126,105.984,62.92,62.92,62.92,62.92,123.797,113.988,113.477,116.433,113.79,62.92,62.92,62.92,62.92,62.92,121.313,127.406,119.496,128.144,62.92,114.773,62.92
2015-10-01 00:00:00,62.404,115.168,124.888,131.793,127.432,128.927,62.404,111.722,105.537,62.404,62.404,62.404,62.404,122.727,113.978,113.041,116.549,113.972,62.404,62.404,62.404,62.404,62.404,120.259,126.905,119.028,129.233,62.404,114.457,62.404
2015-10-02 00:00:00,64.366,115.816,124.91,132.529,128.151,129.664,64.366,112.321,106.118,64.366,64.366,64.366,64.366,123.834,115.025,113.679,117.04,113.795,64.366,64.366,64.366,64.366,64.366,121.424,127.628,119.402,128.895,64.366,115.132,64.366
2015-10-05 00:00:00,65.57,114.608,123.577,132.289,127.309,128.264,65.57,111.221,105.389,65.57,65.57,65.57,65.57,122.975,113.673,112.488,116.018,114.276,65.57,65.57,65.57,65.57,65.57,120.217,126.264,118.232,127.656,65.57,114.212,65.57
2015-10-06 00:00:00,68.66,115.258,124.058,133.339,127.799,128.493,68.66,111.561,105.553,68.66,68.66,68.66,68.66,122.601,114.086,112.85,116.156,114.012,68.66,68.66,68.66,68.66,68.66,119.909,126.631,118.656,127.235,68.66,115.123,68.66
2015-10-07 00:00:00,66.514,115.154,123.618,133.509,127.346,128.106,66.514,111.249,105.739,66.514,66.514,66.514,66.514,122.659,113.881,112.803,115.982,113.834,66.514,66.514,66.514,66.514,66.514,119.589,126.256,118.532,127.524,66.514,114.888,66.514
2015-10-08 00:00:00,67.457,114.598,123.593,132.897,126.727,127.477,67.457,110.752,105.709,67.457,67.457,67.457,67.457,122.226,114.401,112.216,115.742,113.223,67.457,67.457,67.457,67.457,67.457,119.145,125.635,118.047,127.415,67.457,114.678,67.457
2015-10-09 00:00:00,66.495,114.973,124.006,133.378,127.145,127.904,66.495,111.085,105.976,66.495,66.495,66.495,66.495,122.559,114.385,112.54,115.725,113.526,66.495,66.495,66.495,66.495,66.495,119.528,126.051,118.695,128.513,66.495,115.039,66.495
2015-10-13 00:00:00,66.027,115.696,124.774,134.717,127.927,128.727,66.027,111.745,106.825,66.027,66.027,66.027,66.027,123.453,114.805,113.25,116.359,114.378,66.027,66.027,66.027,66.027,66.027,120.279,126.061,119.44,127.935,66.027,115.166,66.027
2015-10-14 00:00:00,64.652,116.586,126.204,135.711,128.866,127.96,64.652,112.906,107.393,64.652,64.652,64.652,64.652,124.004,115.284,114.528,117.203,114.353,64.652,64.652,64.652,64.652,64.652,121.596,128.532,120.479,128.977,64.652,115.651,64.652
2015-10-15 00:00:00,64.772,115.92,125.471,134.651,128.121,127.215,64.772,111.772,107.312,64.772,64.772,64.772,64.772,123.988,115.233,113.155,117.078,113.799,64.772,64.772,64.772,64.772,64.772,118.183,127.407,119.429,128.391,64.772,115.802,64.772
2015-10-16 00:00:00,65.223,115.541,125.053,134.128,127.636,126.792,65.223,111.433,107.209,65.223,65.223,65.223,65.223,123.706,115.704,112.541,116.931,114.417,65.223,65.223,65.223,65.223,65.223,117.832,124.107,119.324,128.211,65.223,116.035,65.223
2015-10-19 00:00:00,64.809,115.591,125.106,134.849,127.702,126.847,64.809,111.477,120.783,64.809,64.809,64.809,64.809,123.004,114.266,112.59,116.622,114.329,64.809,64.809,64.809,64.809,64.809,118.219,123.31,119.224,128.187,64.809,116.079,64.809
2015-10-20 00:00:00,64.304,114.87,124.312,134.276,126.888,126.045,64.304,110.826,119.572,64.304,64.304,64.304,64.304,122.624,114.548,111.886,116.23,114.158,64.304,64.304,64.304,64.304,64.304,117.539,122.693,118.475,126.832,64.304,115.292,64.304
2015-10-21 00:00:00,63.964,116.361,125.21,135.624,127.793,126.954,63.964,112.076,120.073,63.964,63.964,63.964,63.964,123.058,114.534,112.99,116.766,114.966,63.964,63.964,63.964,63.964,63.964,118.57,123.864,119.326,128.355,63.964,116.641,63.964
2015-10-22 00:00:00,65.6,116.344,125.177,136.152,128.151,126.934,65.6,112.065,120.52,65.6,65.6,65.6,65.6,123.562,115.366,113.392,116.698,115.622,65.6,65.6,65.6,65.6,65.6,118.461,123.958,119.311,128.579,65.6,116.772,65.6
2015-10-23 00:00:00,63.628,115.842,124.629,135.963,127.594,126.381,63.628,111.609,119.789,63.628,63.628,63.628,63.628,122.878,115.243,113.163,116.531,115.01,63.628,63.628,63.628,63.628,63.628,118.096,123.38,119.002,127.67,63.628,117.035,63.628
2015-10-26 00:00:00,62.759,116.566,125.423,136.472,128.398,127.184,62.759,112.258,119.307,62.759,62.759,62.759,62.759,123.37,114.705,113.866,117.096,117.124,62.759,62.759,62.759,62.759,62.759,119.414,124.223,119.758,127.919,62.759,117.094,62.759
2015-10-27 00:00:00,62.418,116.747,125.619,135.541,128.583,127.383,62.418,112.835,118.287,62.418,62.418,62.418,62.418,125.466,115.073,112.433,117.281,117.036,62.418,62.418,62.418,62.418,62.418,119.7,124.4,119.759,128.385,62.418,117.634,62.418
2015-10-28 00:00:00,62.809,116.198,123.115,135.057,127.971,126.779,62.809,112.316,111.728,62.809,62.809,62.809,62.809,124.319,114.832,111.804,116.962,116.709,62.809,62.809,62.809,62.809,62.809,119.358,123.882,119.34,128.813,62.809,117.09,62.809
2015-10-29 00:00:00,63.605,115.245,122.105,133.235,126.914,125.723,63.605,111.459,107.342,63.605,63.605,63.605,63.605,122.985,113.781,110.65,116.011,115.442,63.605,63.605,63.605,63.605,63.605,118.377,122.623,117.922,127.291,63.605,116.16,63.605
2015-10-30 00:00:00,64.119,115.808,122.708,133.643,127.539,126.347,64.119,111.965,107.295,64.119,64.119,64.119,64.119,123.344,114.609,111.186,116.121,115.825,64.119,64.119,64.119,64.119,64.119,118.791,123.163,118.532,127.516,64.119,116.916,64.119
2015-11-02 00:00:00,65.356,115.358,122.225,133.013,127.036,125.843,65.356,111.549,106.801,65.356,65.356,65.356,65.356,123.241,114.669,110.757,116.216,115.21,65.356,65.356,65.356,65.356,65.356,118.264,122.414,118.163,127.18,65.356,116.401,65.356
2015-11-03 00:00:00,66.786,114.9,121.734,132.496,126.517,125.326,66.786,111.133,106.529,66.786,66.786,66.786,66.786,121.93,114.535,109.559,115.567,114.814,66.786,66.786,66.786,66.786,66.786,118.201,121.93,117.69,126.658,66.786,116.117,66.786
2015-11-04 00:00:00,66.829,115.243,121.979,132.707,126.512,125.719,66.829,111.447,112.281,66.829,66.829,66.829,66.829,122.037,114.468,109.901,115.467,114.654,66.829,66.829,66.829,66.829,66.829,118.4,122.314,117.595,127.314,66.829,116.162,66.829
2015-11-05 00:00:00,64.846,114.976,121.683,132.949,125.87,124.8,64.846,111.206,112.172,64.846,64.846,64.846,64.846,121.858,113.678,108.514,115.229,114.365,64.846,64.846,64.846,64.846,64.846,117.651,122.03,117.411,126.438,64.846,115.747,64.846
2015-11-06 00:00:00,63.967,113.465,120.068,132.238,124.212,123.135,63.967,109.827,111.014,63.967,63.967,63.967,63.967,120.208,113.251,107.468,114.079,113.179,63.967,63.967,63.967,63.967,63.967,116.372,120.427,116.231,125.46,63.967,115.218,63.967
2015-11-09 00:00:00,62.482,113.225,119.794,131.83,123.945,122.86,62.482,109.605,110.465,62.482,62.482,62.482,62.482,119.831,112.109,107.244,113.365,113.003,62.482,62.482,62.482,62.482,62.482,116.039,120.158,115.548,125.648,62.482,114.694,62.482
2015-11-10 00:00:00,62.638,113.22,119.786,131.603,123.925,122.851,62.638,109.606,110.397,62.638,62.638,62.638,62.638,119.915,112.142,107.24,113.602,113.312,62.638,62.638,62.638,62.638,62.638,115.701,120.15,115.205,125.628,62.638,114.011,62.638
2015-11-12 00:00:00,61.606,113.72,120.301,132.17,124.511,123.404,61.606,110.057,110.487,61.606,61.606,61.606,61.606,119.98,112.63,107.708,113.71,114.029,61.606,61.606,61.606,61.606,61.606,116.647,120.717,115.782,125.967,61.606,114.954,61.606
2015-11-13 00:00:00,61.405,114.473,121.105,132.916,125.03,124.23,61.405,110.747,110.879,61.405,61.405,61.405,61.405,120.557,113.01,108.416,114.14,113.92,61.405,61.405,61.405,61.405,61.405,117.241,121.487,116.601,126.501,61.405,116.051,61.405
2015-11-16 00:00:00,61.525,114.293,120.916,132.022,124.863,124.039,61.525,110.701,110.994,61.525,61.525,61.525,61.525,120.586,113.06,108.25,114.13,113.809,61.525,61.525,61.525,61.525,61.525,117.334,121.283,116.174,125.731,61.525,115.037,61.525
2015-11-17 00:00:00,61.555,114.679,121.329,132.709,125.253,124.42,61.555,111.179,110.777,61.555,61.555,61.555,61.555,120.911,112.249,108.241,113.933,112.983,61.555,61.555,61.555,61.555,61.555,117.052,120.562,116.333,126.154,61.555,115.912,61.555
2015-11-18 00:00:00,62.273,114.883,121.542,133.43,125.23,124.65,62.273,111.487,110.943,62.273,62.273,62.273,62.273,119.771,113.065,108.417,114.141,113.204,62.273,62.273,62.273,62.273,62.273,117.247,120.766,116.39,126.343,62.273,115.772,62.273
2015-11-19 00:00:00,61.502,115.642,122.35,134.188,126.064,125.543,61.502,112.175,111.573,61.502,61.502,61.502,61.502,120.381,113.611,109.134,114.827,114.025,61.502,61.502,61.502,61.502,61.502,118.386,121.491,117.07,126.8,61.502,116.5,61.502
2015-11-20 00:00:00,60.188,115.605,122.313,133.704,126.03,125.511,60.188,112.143,111.46,60.188,60.188,60.188,60.188,120.234,113.326,109.1,114.655,113.922,60.188,60.188,60.188,60.188,60.188,118.515,121.53,116.962,126.769,60.188,115.577,60.188
2015-11-23 00:00:00,60.4,115.477,122.177,133.561,125.852,125.37,60.4,112.019,111.202,60.4,60.4,60.4,60.4,120.551,112.753,108.978,114.681,113.675,60.4,60.4,60.4,60.4,60.4,118.589,121.3,116.766,126.833,60.4,115.947,60.4
2015-11-24 00:00:00,61.457,115.204,121.882,133.271,125.472,125.066,61.457,111.775,111.072,61.457,61.457,61.457,61.457,120.582,112.562,108.725,114.655,113.614,61.457,61.457,61.457,61.457,61.457,118.492,121.064,116.689,126.52,61.457,115.958,61.457
2015-11-25 00:00:00,59.247,115.36,122.062,133.508,125.655,125.25,59.247,111.928,111.101,59.247,59.247,59.247,59.247,120.93,113.055,108.88,114.787,113.754,59.247,59.247,59.247,59.247,59.247,118.495,121.448,116.732,126.846,59.247,116.176,59.247
2015-11-27 00:00:00,59.438,115.559,122.254,133.728,125.852,125.452,59.438,112.27,111.152,59.438,59.438,59.438,59.438,121.106,113.266,109.058,114.793,113.773,59.438,59.438,59.438,59.438,59.438,118.796,121.708,116.949,127.05,59.438,116.355,59.438
2015-11-30 00:00:00,61.349,115.746,122.424,133.653,126.061,125.658,61.349,112.506,111.27,61.349,61.349,61.349,61.349,121.167,113.2,109.148,114.945,114.001,61.349,61.349,61.349,61.349,61.349,118.945,121.886,117.175,127.1,61.349,116.006,61.349
2015-12-01 00:00:00,62.257,116.471,123.078,134.544,126.398,126.453,62.257,114.323,111.837,62.257,62.257,62.257,62.257,121.757,114.117,109.822,115.587,115.348,62.257,62.257,62.257,62.257,62.257,120.284,122.695,117.605,127.892,62.257,117.28,62.257
2015-12-02 00:00:00,61.359,115.913,122.47,134.553,125.788,125.841,61.359,113.791,111.708,61.359,61.359,61.359,61.359,121.893,114.175,109.52,115.622,114.985,61.359,61.359,61.359,61.359,61.359,119.762,122.049,117.362,127.443,61.359,117.162,61.359
2015-12-03 00:00:00,61.401,114.063,120.495,132.534,124.071,123.803,61.401,112.092,110.402,61.401,61.401,61.401,61.401,120.212,112.8,107.781,113.977,113.724,61.401,61.401,61.401,61.401,61.401,118.64,120.292,115.606,125.376,61.401,115.361,61.401
2015-12-04 00:00:00,59.799,114.498,120.949,133.342,124.543,124.283,59.799,112.494,110.425,59.799,59.799,59.799,59.799,114.811,112.486,108.337,113.987,114.497,59.799,59.799,59.799,59.799,59.799,119.536,121.017,116.23,126.089,59.799,116.088,59.799
2015-12-07 00:00:00,57.775,115.636,121.46,133.888,125.066,124.811,57.775,112.937,111.077,57.775,57.775,57.775,57.775,114.973,113.16,108.786,114.616,114.769,57.775,57.775,57.775,57.775,57.775,119.581,121.532,116.812,126.818,57.775,116.118,57.775
2015-12-08 00:00:00,58.284,115.661,121.482,133.637,125.091,124.834,58.284,112.96,111.346,58.284,58.284,58.284,58.284,115.209,113.036,108.81,114.873,114.838,58.284,58.284,58.284,58.284,58.284,119.627,121.64,117.116,126.597,58.284,115.288,58.284
2015-12-09 00:00:00,57.728,115.529,121.343,133.434,125.26,124.685,57.728,112.839,111.151,57.728,57.728,57.728,57.728,114.86,113.599,108.686,114.657,114.377,57.728,57.728,57.728,57.728,57.728,119.46,121.496,116.993,126.422,57.728,115.2,57.728
2015-12-10 00:00:00,56.552,114.945,120.723,133.15,124.627,124.048,56.552,112.334,111.037,56.552,56.552,56.552,56.552,115.189,113.794,108.14,114.708,114.221,56.552,56.552,56.552,56.552,56.552,118.972,121.103,116.351,126.278,56.552,114.753,56.552
2015-12-11 00:00:00,53.661,116.213,122.067,134.219,126.004,125.435,53.661,113.581,111.672,53.661,53.661,53.661,53.661,115.717,114.463,109.333,115.465,115.047,53.661,53.661,53.661,53.661,53.661,120.397,122.44,118.174,127.447,53.661,114.722,53.661
2015-12-14 00:00:00,53.732,114.913,121.385,132.521,125.041,124.723,53.732,112.882,111.156,53.732,53.732,53.732,53.732,115.637,113.865,108.393,115.136,113.456,53.732,53.732,53.732,53.732,53.732,120.148,121.764,116.341,125.959,53.732,113.101,53.732
2015-12-15 00:00:00,54.676,114.223,120.631,132.181,124.277,123.952,54.676,112.214,110.334,54.676,54.676,54.676,54.676,114.69,113.296,107.43,114.414,114.105,54.676,54.676,54.676,54.676,54.676,119.384,121.021,116.009,125.5,54.676,112.58,54.676
2015-12-16 00:00:00,54.432,113.898,120.295,132.311,123.93,123.604,54.432,112.763,109.949,54.432,54.432,54.432,54.432,113.746,112.884,107.111,114.161,113.685,54.432,54.432,54.432,54.432,54.432,119.724,120.7,115.68,125.468,54.432,114.023,54.432
2015-12-17 00:00:00,52.826,114.671,121.118,133.537,125.021,124.452,52.826,113.585,110.551,52.826,52.826,52.826,52.826,114.756,113.424,107.841,114.97,114.202,52.826,52.826,52.826,52.826,52.826,120.489,121.544,115.908,126.558,52.826,114.979,52.826
2015-12-18 00:00:00,48.134,114.765,121.218,133.262,125.125,124.559,48.134,113.665,110.81,48.134,48.134,48.134,48.134,115.036,113.822,107.929,115.452,114.513,48.134,48.134,48.134,48.134,48.134,120.57,121.667,115.983,126.73,48.134,115.215,48.134
2015-12-21 00:00:00,49.592,114.814,121.275,133.289,125.502,124.612,49.592,113.716,110.808,49.592,49.592,49.592,49.592,114.882,113.804,107.975,115.484,114.367,49.592,49.592,49.592,49.592,49.592,120.613,122.413,116.02,127.346,49.592,115.26,49.592
2015-12-22 00:00:00,52.286,114.543,120.672,132.263,125.086,123.995,52.286,113.221,110.326,52.286,52.286,52.286,52.286,114.719,113.429,108.275,115.186,113.162,52.286,52.286,52.286,52.286,52.286,120.032,121.807,115.91,126.706,52.286,114.706,52.286
2015-12-23 00:00:00,58.571,114.325,120.443,131.965,124.843,123.756,58.571,113.009,109.88,58.571,58.571,58.571,58.571,114.385,113.225,108.072,114.641,112.805,58.571,58.571,58.571,58.571,58.571,119.799,121.58,115.688,126.449,58.571,114.31,58.571
2015-12-24 00:00:00,57.164,114.742,120.887,132.438,125.308,124.218,57.164,113.408,110.292,57.164,57.164,57.164,57.164,114.84,113.653,108.462,115.019,112.852,57.164,57.164,57.164,57.164,57.164,120.195,122.028,116.101,126.921,57.164,114.714,57.164
2015-12-28 00:00:00,52.524,114.829,120.976,132.598,125.402,124.304,52.524,113.477,110.411,52.524,52.524,52.524,52.524,115.046,113.833,108.532,115.24,113.369,52.524,52.524,52.524,52.524,52.524,120.734,122.112,116.2,126.769,52.524,114.691,52.524
2015-12-29 00:00:00,54.919,113.71,119.789,131.469,124.168,123.085,54.919,112.446,109.684,54.919,54.919,54.919,54.919,114.099,113.207,107.499,114.462,112.59,54.919,54.919,54.919,54.919,54.919,119.557,120.937,115.074,125.643,54.919,113.955,54.919
2015-12-30 00:00:00,53.354,114.089,120.19,131.397,124.578,123.491,53.354,112.781,109.541,53.354,53.354,53.354,53.354,113.942,112.996,108.186,114.041,112.473,53.354,53.354,53.354,53.354,53.354,119.945,121.334,115.016,126.173,53.354,114.323,53.354
2015-12-31 00:00:00,52.857,114.461,120.587,131.579,124.991,123.936,52.857,113.136,109.967,52.857,52.857,52.857,52.857,114.546,113.539,108.561,114.278,113.019,52.857,52.857,52.857,52.857,52.857,120.121,121.763,115.391,126.504,52.857,114.592,52.857
2016-01-04 00:00:00,53.427,114.792,120.957,131.421,125.365,124.265,53.427,113.439,110.29,53.427,53.427,53.427,53.427,114.904,113.603,108.847,114.816,113.312,53.427,53.427,53.427,53.427,53.427,120.373,121.888,115.742,126.645,53.427,113.943,53.427
2016-01-05 00:00:00,55.137,115.043,121.201,131.265,125.621,124.539,55.137,113.688,109.963,55.137,55.137,55.137,55.137,114.713,113.209,108.668,114.409,112.498,55.137,55.137,55.137,55.137,55.137,119.789,122.157,115.974,126.673,55.137,114.048,55.137
2016-01-06 00:00:00,53.756,115.913,122.065,132.225,126.571,125.488,53.756,114.504,110.705,53.756,53.756,53.756,53.756,115.978,113.803,109.548,115.225,112.965,53.756,53.756,53.756,53.756,53.756,120.605,122.909,116.828,127.458,53.756,114.386,53.756
2016-01-07 00:00:00,52.945,115.972,122.498,132.204,126.656,125.922,52.945,114.881,110.849,52.945,52.945,52.945,52.945,116.014,113.853,109.921,115.324,113.018,52.945,52.945,52.945,52.945,52.945,121.014,122.64,117.218,127.535,52.945,113.72,52.945
2016-01-08 00:00:00,52.928,116.959,123.535,132.548,127.477,126.878,52.928,115.813,111.164,52.928,52.928,52.928,52.928,116.179,114.267,110.602,115.715,113.161,52.928,52.928,52.928,52.928,52.928,121.56,123.125,117.711,128.188,52.928,114.472,52.928
2016-01-11 00:00:00,50.175,115.866,122.927,131.624,126.615,126.251,50.175,115.272,110.521,50.175,50.175,50.175,50.175,115.123,113.765,109.873,115.259,112.083,50.175,50.175,50.175,50.175,50.175,120.601,122.251,116.894,127.176,50.175,113.314,50.175
